,MSE,NMSE,NRMSD,PSNR,RMSD,basis_count,e_cur,runtime
81,772.1061984308132,0.024419633172568442,0.035988312297237326,19.254033219045997,27.786798995760794,82,625.2568257919222,0.922119959956035
82,783.9654927535615,0.024804014039627027,0.03571507171067763,19.1878341379129,27.999383792390173,83,618.3550328066601,0.9320569320116192
83,746.9940699933529,0.02360665530670891,0.03658823189006339,19.397632066822126,27.33119225341904,84,621.008051423992,0.9064284769119695
84,737.2529506730855,0.023291644396493352,0.03682915378694998,19.45463841484055,27.152402300221716,85,619.1429809535615,0.9605188670102507
85,726.5050771320441,0.0229443017036634,0.03710057778635305,19.518417071853825,26.953758126317826,86,610.1981521449339,0.9467602350050583
86,718.9863985196444,0.022701458145583383,0.03729405978302378,19.563596862064983,26.813921729572574,87,611.5596520940244,1.007029486936517
87,710.7450989694253,0.022435407290229786,0.03750965443781448,19.61366487226321,26.659803055713397,88,611.3437359895725,1.0625072510447353
88,701.8651377648905,0.022148893641275924,0.03774619371690147,19.66826689694262,26.492737453213294,89,606.784459922487,1.0208495320985094
89,688.6035421725904,0.021721304570713248,0.03810793131731626,19.751111084852365,26.241256489973768,90,602.7585424434411,0.8925289079779759
90,684.2487983574022,0.02158097407482605,0.03822900356282984,19.77866317470744,26.158149750267164,91,603.8821014375882,0.9410153549397364
91,677.4145743463471,0.021360820671331236,0.03842135986164592,19.82225824759319,26.027189136484697,92,593.938879344873,0.9299933109432459
92,665.7722465087637,0.020986000452770937,0.03875584019138317,19.89754673741043,25.80256278955181,93,594.8107521106444,0.9611254240153357
93,661.556606738721,0.020850347402198814,0.03887912609599016,19.92513349921929,25.720742733030104,94,593.5051372835815,0.9606803590431809
94,648.7659700658423,0.020438984153678626,0.03926051292383992,20.00992299258247,25.470884752317545,95,586.859890688314,0.9750470579601824
95,630.4300080427683,0.0198498540918929,0.03982736383066769,20.134434837702674,25.108365300090096,96,576.2041139349883,1.0002034569624811
96,632.8502083970576,0.0199275755779332,0.03975113526082591,20.117794334175056,25.156514233833303,97,578.8231524576618,1.050722270971164
97,620.4087933305234,0.01952816225858354,0.04014773304102426,20.20402416233338,24.908006610937846,98,574.5895520361543,1.018908693920821
98,610.6470345294296,0.019214994310180516,0.040467360083040776,20.272901084816006,24.71127342994346,99,572.7720600195532,1.0414959960617125
99,605.0325152511095,0.019034961496322073,0.04065468894655876,20.313016460258844,24.59740871008793,100,574.6075766503195,1.055648538051173
100,591.4415147025319,0.018599421399861624,0.04111914704400397,20.41168555433574,24.319570610981845,101,564.3438757554214,1.0661398459924385
101,569.9636237947916,0.017911894887189576,0.04188672741206617,20.572332218433367,23.873910944685864,102,566.2283191339139,1.0831257490208372
102,567.3581934421527,0.017828555847392527,0.04198279366141058,20.59223029806917,23.819281967392566,103,565.7719110063117,1.108684195089154
103,565.8707845171054,0.01778098470832936,0.042037933988939964,20.60363088651156,23.788038685799748,104,556.5421292953124,1.1315070929704234
104,561.8349572881389,0.017651931037152895,0.04218864929260165,20.634716034230912,23.70305797335312,105,559.0910564482848,1.1378856890369207
105,551.8921307328767,0.017334128805669542,0.04256698586213234,20.7122615923543,23.492384526328458,106,555.7559704423311,1.1720271341037005
106,550.459595995049,0.01728835710450763,0.042622338756935746,20.72354913818758,23.461875372506967,107,556.1728328879303,1.1968857060419396
107,538.2971957594947,0.016899915463879218,0.043101158276981105,20.820582434883164,23.201232634485063,108,551.4273668044441,1.1903552430449054
108,533.0174179532537,0.016731382720710956,0.043314100455579124,20.86338959726167,23.087169985800635,109,545.628442327825,1.2160831399960443
109,517.7938793851017,0.016245753525265676,0.043946221844127324,20.9892344834377,22.755084692988987,110,551.4777773737683,1.2186942270491272
110,511.95244658839835,0.016059535598084,0.04419622629500138,21.038507380627394,22.62636618170046,111,542.620340486522,1.2451319739921018
111,510.4690530850219,0.016012257643429856,0.044260395547734546,21.05110942519021,22.593562204420575,112,541.4703669469923,1.2631478590192273
112,500.6216912026392,0.015698519105361575,0.04469358257456311,21.13570697845958,22.37457689438259,113,537.2683697888506,1.294386871973984
113,494.7627055981702,0.015511942799901186,0.04495743469594511,21.186834050833163,22.243262026918853,114,534.753739913475,1.323533458984457
114,485.7941498831131,0.01522647660598015,0.04537053074930781,21.26628080305715,22.040738415105633,115,530.0933945252533,1.5881483220728114
